movie,solicitations
"men, women & children - 2014",What movie directed by Jason Reitman explores the impact of the internet on families and relationships?
"men, women & children - 2014",Can you name a film that deals with themes like video game culture and anorexia?
"men, women & children - 2014",Which movie shows the effects of the internet on high school teenagers and their parents?
eternal sunshine of the spotless mind - 2004,What movie features a man trying to erase memories of his ex-lover?
eternal sunshine of the spotless mind - 2004,Can you tell me a film directed by Michel Gondry?
eternal sunshine of the spotless mind - 2004,I'm looking for a movie where a character questions whether ignorance is bliss.
donnie darko - 2001,What's the mysterious film featuring a large bunny named Frank?
donnie darko - 2001,What's the movie where a troubled teenager deals with supernatural events and an invisible friend?
donnie darko - 2001,Can you name a psychological thriller about a young man who navigates complex relationships while experiencing strange occurrences?
the silence of the lambs - 1991,What movie features a psychological thriller involving an F.B.I. trainee investigating a cannibalistic serial killer?
the silence of the lambs - 1991,Which film includes a complex relationship between an F.B.I. trainee and an incarcerated psychiatrist?
the silence of the lambs - 1991,What's the movie where an F.B.I. trainee contacts a notorious serial killer to solve a murder case?
life is beautiful - 1997,Could you tell me the name of a film directed by someone known for comedy and set during World War II?
life is beautiful - 1997,What's the name of a movie where a father uses his imagination to protect his child in a concentration camp?
life is beautiful - 1997,I'm looking for an Italian movie that combines romance and historical drama; can you help?
watchmen - 2009,What movie features superheroes dealing with a murder mystery in an alternate 1985?
watchmen - 2009,What's a film about former masked heroes dealing with Cold War tensions and conspiracy theories?
watchmen - 2009,What's a movie where superheroes face moral and existential dilemmas amid a backdrop of political intrigue?
sidewalls - 2011,What romantic drama movie set in Buenos Aires features themes of modern urban alienation?
sidewalls - 2011,Can you name a film where two strangers find a connection despite living across the street from each other?
sidewalls - 2011,What's a movie directed by Gustavo Taretto?
it's kind of a funny story - 2010,What movie features a high-school junior dealing with mental health in a psychiatric ward?
it's kind of a funny story - 2010,Which film directed by Anna Boden and Ryan Fleck involves a character named Craig?
it's kind of a funny story - 2010,Can you name a movie that combines teen drama with a comedic element involving a hospital setting?
the truman show - 1998,What was the film directed by Peter Weir that explores themes of reality TV and an individual's quest for truth?
the truman show - 1998,Can you name a movie that features a protagonist living in a world controlled and manipulated by hidden cameras?
the truman show - 1998,"Which film tells the story of a man whose life is broadcast to the world without his knowledge, thanks to a television producer?"
submarine - 2010,Which movie is directed by Richard Ayoade and features a plot about school popularity struggles?
submarine - 2010,What's the movie where a young boy makes unusual plans to keep his parents' relationship intact and impress a girl?
submarine - 2010,Can you name a movie from the United Kingdom that involves a teenager's romantic and family challenges?
the name of the rose - 1986,Can you tell me the name of a mystery movie set in a 14th-century monastery?
the name of the rose - 1986,What's the title of a film directed by Jean-Jacques Annaud about a series of murders of monks?
the name of the rose - 1986,I'm looking for a film about a Franciscan monk who solves crimes using his intelligence. What's it called?
"it's not me, i swear! - 2008",What movie directed by Philippe Falardeau involves a boy with an overactive imagination?
"it's not me, i swear! - 2008",Which film features a storyline about a young boy dealing with family issues in the summer of '68?
"it's not me, i swear! - 2008",Can you name a movie that explores themes of childhood challenges and a boy's creative attempts to cope?
loser - 2000,"What film, directed by Amy Heckerling, involves a college student navigating life in New York City?"
loser - 2000,Can you name a movie where the main character might get labeled as a 'loser' by his peers?
loser - 2000,What is the title of the movie that mixes elements of a romantic drama with a young man studying hard to keep his scholarship?
zombieland - 2009,Which movie features a college student traveling through a zombie-infested America?
zombieland - 2009,Can you name a film directed by Ruben Fleischer that involves a quest for family?
zombieland - 2009,What movie involves characters avoiding zombies and trying to reach an attraction park in LA?
the wolf of wall street - 2013,Can you recommend a movie that explores the excesses of Wall Street culture?
the wolf of wall street - 2013,What's a film featuring a character known as 'The Wolf' for his exploits?
the wolf of wall street - 2013,I'm looking for a movie with a plot about a brokerage firm that grows rapidly and attracts FBI attention.
mr. nobody - 2009,What's a movie directed by Jaco Van Dormael?
mr. nobody - 2009,Can you name a film with a protagonist who has memories spanning different ages and timelines?
mr. nobody - 2009,What is a movie that features a complex and non-linear plot involving a character named 'Nemo'?
